feature,importance
categorical__payer_code_WC,0.0002590585735678333
categorical__medical_specialty_Endocrinology,0.00019238402045300423
categorical__medical_specialty_Psychology,0.00017834456945642262
categorical__medical_specialty_Gynecology,0.00015910294907479228
categorical__medical_specialty_Surgery-Cardiovascular,0.00015671513854043708
categorical__admission_source_Not Mapped,0.00015043166057916585
categorical__medical_specialty_Surgery-Thoracic,0.00014536988480538143
categorical__medical_specialty_Podiatry,0.00010749713765262299
categorical__payer_code_MP,9.215379957743327e-05
categorical__payer_code_CH,7.851259325023654e-05
categorical__admission_source_Not Available,7.690917273683328e-05
categorical__diag_2_category_Congenital,5.903502593080333e-05
categorical__payer_code_OT,5.217623505960459e-05
categorical__medical_specialty_Ophthalmology,4.475947876691586e-05
categorical__diag_3_category_Congenital,4.003945188523186e-05
categorical__medical_specialty_Osteopath,2.4226583154439642e-05
categorical__medical_specialty_Pediatrics-Pulmonology,1.956896238994779e-05
categorical__medical_specialty_Hospitalist,1.8350018863920034e-05
categorical__medical_specialty_Anesthesiology-Pediatric,1.5607588008739195e-05
categorical__payer_code_SI,1.3928007906967108e-05
categorical__medical_specialty_InfectiousDiseases,1.0773570989479812e-05
categorical__medical_specialty_Radiology,6.9369674008292175e-06
categorical__medical_specialty_Obsterics&Gynecology-GynecologicOnco,6.430895204691231e-06
categorical__diag_1_category_Injury/External Cause,0.0
categorical__admission_source_Extramural Birth,0.0
categorical__admission_source_Normal Delivery,0.0
categorical__gender_Unknown,0.0
categorical__admission_type_Newborn,0.0
categorical__admission_type_Trauma Center,0.0
categorical__admission_source_Court/Law Enforcement,0.0
categorical__admission_source_Other,0.0
categorical__admission_source_Transfer from Another Facility,0.0
categorical__admission_source_Transfer from Critical Access Hospital,0.0
categorical__admission_source_Transfer from Outpatient Surgery,0.0
categorical__diag_1_category_Congenital,0.0
categorical__medical_specialty_Cardiology-Pediatric,0.0
categorical__medical_specialty_DCPTEAM,0.0
categorical__medical_specialty_Anesthesiology,0.0
categorical__payer_code_FR,0.0
categorical__diag_1_category_Unknown,0.0
categorical__medical_specialty_AllergyandImmunology,0.0
categorical__medical_specialty_Pediatrics-Hematology-Oncology,0.0
categorical__medical_specialty_Endocrinology-Metabolism,0.0
categorical__medical_specialty_Pediatrics-EmergencyMedicine,0.0
categorical__medical_specialty_Pathology,0.0
categorical__medical_specialty_Pediatrics-AllergyandImmunology,0.0
categorical__medical_specialty_OutreachServices,0.0
categorical__medical_specialty_Obstetrics,0.0
categorical__medical_specialty_Dentistry,0.0
categorical__medical_specialty_Neurophysiology,0.0
categorical__medical_specialty_Rheumatology,0.0
categorical__medical_specialty_Resident,0.0
categorical__medical_specialty_Psychiatry-Child/Adolescent,0.0
categorical__medical_specialty_Psychiatry-Addictive,0.0
categorical__medical_specialty_Perinatology,0.0
categorical__medical_specialty_Pediatrics-Neurology,0.0
categorical__medical_specialty_Pediatrics-InfectiousDiseases,0.0
categorical__medical_specialty_PhysicianNotFound,0.0
categorical__medical_specialty_Surgery-Maxillofacial,0.0
categorical__medical_specialty_Surgery-Colon&Rectal,0.0
categorical__medical_specialty_Surgeon,0.0
categorical__medical_specialty_Speech,0.0
categorical__medical_specialty_Surgery-PlasticwithinHeadandNeck,0.0
categorical__medical_specialty_Surgery-Plastic,0.0
categorical__medical_specialty_Surgery-Pediatric,0.0
categorical__medical_specialty_SurgicalSpecialty,0.0
