risk_category,encounters,actual_readmissions,actual_readmission_rate,average_predicted_risk
Lower Risk,11697,859,0.07343763358126015,0.07875369987127502
Moderate Risk,3321,365,0.10990665462210178,0.11526661613466674
High Risk,3534,532,0.15053763440860216,0.16470112886782914
Very High Risk,1737,413,0.2377662636729994,0.23462079071809105
